127.0.0.1 - - [03/May/2023:12:18:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/ HTTP/1.1" 200 66398
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/css/search/home_search.css HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/js/home/script.js HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/js/home/jquery-3.6.1.min.js HTTP/1.1" 200 89664
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/img/profile.png HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/logo/%EB%A9%94%EC%9D%B8%EC%9D%B4%EB%AF%B8%EC%A7%80.png HTTP/1.1" 200 550316
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/logo/%EB%A9%94%EC%9D%B8%20OTTT.png HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/logo/OTTT.png HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/poster/subu.jpg HTTP/1.1" 200 1607865
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/icon/netplix.png HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/img/3star.png HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/img/%EC%98%A4%EB%A5%B8%EC%AA%BD%ED%99%94%EC%82%B4%ED%91%9C.png HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:47 +0900] "GET /ottt/resources/images/img/%EC%99%BC%EC%AA%BD%20%ED%99%94%EC%82%B4%ED%91%9C.png HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:48 +0900] "GET /ottt/resources/images/icon/search-h.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:48 +0900] "GET /ottt/resources/images/icon/search02.png HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:48 +0900] "GET /ottt/resources/images/icon/user01.png HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/community;jsessionid=F600D3322D195AD561B833FB2F87D684 HTTP/1.1" 200 10849
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/css/community/freecommunity/community_main.css HTTP/1.1" 200 7225
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/js/community/main.js HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/images/img/KakaoTalk_20230411_161709664.png HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/images/img/free-icon-heart-6063477%202.png HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/images/icon/search.png HTTP/1.1" 200 15417
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/images/img/comment.png HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/images/img/commit.png HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [03/May/2023:12:18:55 +0900] "GET /ottt/resources/images/img/writeImg.png HTTP/1.1" 200 8953
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/ HTTP/1.1" 200 66398
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/js/home/script.js HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/css/search/home_search.css HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/js/home/jquery-3.6.1.min.js HTTP/1.1" 200 89664
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/img/profile.png HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/logo/%EB%A9%94%EC%9D%B8%EC%9D%B4%EB%AF%B8%EC%A7%80.png HTTP/1.1" 200 550316
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/logo/OTTT.png HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/img/%EC%99%BC%EC%AA%BD%20%ED%99%94%EC%82%B4%ED%91%9C.png HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/icon/netplix.png HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/logo/%EB%A9%94%EC%9D%B8%20OTTT.png HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/img/3star.png HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/img/%EC%98%A4%EB%A5%B8%EC%AA%BD%ED%99%94%EC%82%B4%ED%91%9C.png HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/icon/search-h.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/icon/search02.png HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/icon/user01.png HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:26 +0900] "GET /ottt/resources/images/poster/subu.jpg HTTP/1.1" 200 1607865
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/community;jsessionid=58186D049B0F16BFFC5D7D5CEBC5C50D HTTP/1.1" 200 10849
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/js/community/main.js HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/css/community/freecommunity/community_main.css HTTP/1.1" 200 7225
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/images/icon/search.png HTTP/1.1" 200 15417
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/images/img/KakaoTalk_20230411_161709664.png HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/images/img/free-icon-heart-6063477%202.png HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/images/img/comment.png HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/images/img/commit.png HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [03/May/2023:12:20:31 +0900] "GET /ottt/resources/images/img/writeImg.png HTTP/1.1" 200 8953
